pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
PflaKGBDf	OZ251424.1	5130001	5160000	0.0055260212646894	14296	79	14296	0
PflaKGBHm	OZ251424.1	5160001	5190000	0.0021114594663766	15629	33	15629	0
PflaHELEm	OZ251424.1	5160001	5190000	0.0067822637404824	15629	106	15629	0
PflaKGBDf	OZ251424.1	5160001	5190000	0.005566574956811	15629	87	15629	0
PflaHELAf	OZ251424.1	5160001	5190000	0.0019834922259901	15629	31	15629	0
PflaKGBHm	OZ251424.1	5190001	5220000	0.0026954177897574	6307	17	6307	0
PflaHELEm	OZ251424.1	5190001	5220000	0.0076105914063738	6307	48	6307	0
PflaKGBDf	OZ251424.1	5190001	5220000	0.0060250515300459	6307	38	6307	0
PflaHELAf	OZ251424.1	5190001	5220000	0.0	6299	0	6299	8
PflaKGBHm	OZ251424.1	5220001	5250000	0.0060819462227912	9372	57	9372	0
PflaHELAf	OZ251424.1	5220001	5250000	0.0019206145966709	9372	18	9372	0
PflaKGBDf	OZ251424.1	5220001	5250000	0.0050149381135296	9372	47	9372	0
PflaHELEm	OZ251424.1	5220001	5250000	0.0061886470337174	9372	58	9372	0
PflaKGBHm	OZ251424.1	5250001	5280000	0.0015929002161793	8789	14	8789	0
PflaHELAf	OZ251424.1	5250001	5280000	0.004437364887928	8789	39	8789	0
PflaKGBDf	OZ251424.1	5250001	5280000	0.0048253676470588	8704	42	8704	85
PflaHELEm	OZ251424.1	5250001	5280000	0.0040960291273182	8789	36	8789	0
PflaHELAf	OZ251424.1	5280001	5310000	0.0035128805620608	12810	45	12810	0
PflaKGBDf	OZ251424.1	5280001	5310000	0.0018735362997658	12810	24	12810	0
PflaHELEm	OZ251424.1	5280001	5310000	0.0073380171740827	12810	94	12810	0
PflaKGBHm	OZ251424.1	5280001	5310000	0.0003123535842573	12806	4	12806	4
PflaHELAf	OZ251424.1	5310001	5340000	0.0048885179444378	8387	41	8387	1100
PflaHELEm	OZ251424.1	5310001	5340000	0.004458125464388	9421	42	9421	66
PflaKGBDf	OZ251424.1	5310001	5340000	0.0012648887951934	9487	12	9487	0
PflaKGBHm	OZ251424.1	5310001	5340000	0.0008432591967956	9487	8	9487	0
PflaKGBHm	OZ251424.1	5340001	5370000	0.0004040131977644	14851	6	14851	2
PflaHELAf	OZ251424.1	5340001	5370000	0.0023564263111829	14853	35	14853	0
PflaKGBDf	OZ251424.1	5340001	5370000	0.0005386117282703	14853	8	14853	0
PflaHELEm	OZ251424.1	5340001	5370000	0.003298996835656	14853	49	14853	0
PflaKGBDf	OZ251424.1	5370001	5400000	0.0002795951462282	17883	5	17883	0
PflaHELAf	OZ251424.1	5370001	5400000	0.002404518257563	17883	43	17883	0
PflaKGBHm	OZ251424.1	5370001	5400000	0.0004473772508667	17882	8	17882	1
PflaHELEm	OZ251424.1	5370001	5400000	0.001118380584913	17883	20	17883	0
PflaKGBHm	OZ251424.1	5400001	5430000	0.0025761576608488	15527	40	15527	0
PflaHELEm	OZ251424.1	5400001	5430000	0.0011618150132317	15493	18	15493	34
PflaKGBDf	OZ251424.1	5400001	5430000	0.00264056160237	15527	41	15527	0
PflaHELAf	OZ251424.1	5400001	5430000	0.0020014203628381	15489	31	15489	38
PflaHELAf	OZ251424.1	5430001	5460000	0.0004542504866969	15410	7	15410	35
PflaHELEm	OZ251424.1	5430001	5460000	0.001748138556167	15445	27	15445	0
PflaKGBDf	OZ251424.1	5430001	5460000	0.0055681450307542	15445	86	15445	0
PflaKGBHm	OZ251424.1	5430001	5460000	0.0055033991583036	15445	85	15445	0
PflaKGBDf	OZ251424.1	5460001	5490000	0.0012796261266273	17974	23	17974	28
PflaHELEm	OZ251424.1	5460001	5490000	0.0034996111543161	18002	63	18002	0
PflaKGBHm	OZ251424.1	5460001	5490000	0.0011127183709803	17974	20	17974	28
PflaHELAf	OZ251424.1	5460001	5490000	0.000333296300411	18002	6	18002	0
PflaHELAf	OZ251424.1	5490001	5520000	0.0050188205771643	19128	96	19128	0
PflaHELEm	OZ251424.1	5490001	5520000	0.0054893350062735	19128	105	19128	0
PflaKGBHm	OZ251424.1	5490001	5520000	0.0035549979088247	19128	68	19128	0
PflaKGBDf	OZ251424.1	5490001	5520000	0.0031890422417398	19128	61	19128	0
PflaHELEm	OZ251424.1	5520001	5550000	0.0039195637355146	5868	23	5868	0
PflaKGBHm	OZ251424.1	5520001	5550000	0.0034083162917518	5868	20	5868	0
PflaKGBDf	OZ251424.1	5520001	5550000	0.003749147920927	5868	22	5868	0
PflaHELAf	OZ251424.1	5520001	5550000	0.0027266530334014	5868	16	5868	0
PflaHELAf	OZ251424.1	5550001	5580000	0.0038716814159292	9040	35	9040	0
PflaKGBDf	OZ251424.1	5550001	5580000	0.0070796460176991	9040	64	9040	0
PflaHELEm	OZ251424.1	5550001	5580000	0.0078670360110803	9025	71	9025	15
PflaKGBHm	OZ251424.1	5550001	5580000	0.0059734513274336	9040	54	9040	0
PflaKGBDf	OZ251424.1	5580001	5610000	0.0042222038248199	12079	51	12079	12
PflaKGBHm	OZ251424.1	5580001	5610000	0.0040526011082623	12091	49	12091	0
PflaHELAf	OZ251424.1	5580001	5610000	0.0036390703829294	12091	44	12091	0
PflaHELEm	OZ251424.1	5580001	5610000	0.0097593251178562	12091	118	12091	0
PflaHELAf	OZ251424.1	5610001	5640000	0.0074972436604189	13605	102	13605	0
PflaKGBDf	OZ251424.1	5610001	5640000	0.0077177508269018	13605	105	13605	0
PflaHELEm	OZ251424.1	5610001	5640000	0.0094096890391825	13603	128	13603	2
PflaKGBHm	OZ251424.1	5610001	5640000	0.0049246600514516	13605	67	13605	0
PflaKGBHm	OZ251424.1	5640001	5670000	0.0042570864915377	9631	41	9631	0
PflaHELAf	OZ251424.1	5640001	5670000	0.0047762433807496	9631	46	9631	0
PflaKGBDf	OZ251424.1	5640001	5670000	0.0032187727131139	9631	31	9631	0
PflaHELEm	OZ251424.1	5640001	5670000	0.0047762433807496	9631	46	9631	0
PflaKGBHm	OZ251424.1	5670001	5700000	0.0060387486370879	11923	72	11923	11
PflaHELEm	OZ251424.1	5670001	5700000	0.003269343616397	11929	39	11929	5
PflaKGBDf	OZ251424.1	5670001	5700000	0.006116976705212	11934	73	11934	0
PflaHELAf	OZ251424.1	5670001	5700000	0.002597620244679	11934	31	11934	0
PflaHELEm	OZ251424.1	5700001	5730000	0.0015354693417954	9769	15	9769	0
PflaKGBHm	OZ251424.1	5700001	5730000	0.0050156041016495	8972	45	8972	797
PflaHELAf	OZ251424.1	5700001	5730000	0.0009212816050772	9769	9	9769	0
PflaKGBDf	OZ251424.1	5700001	5730000	0.0042478242851222	9652	41	9652	117
PflaHELAf	OZ251424.1	5730001	5760000	0.0035494310470821	9579	34	9579	0
PflaKGBDf	OZ251424.1	5730001	5760000	0.0043845912934544	9579	42	9579	0
PflaKGBHm	OZ251424.1	5730001	5760000	0.0053241465706232	9579	51	9579	0
PflaHELEm	OZ251424.1	5730001	5760000	0.0018791105543376	9579	18	9579	0
PflaHELAf	OZ251424.1	5760001	5790000	0.0040839585905594	10529	43	10529	0
PflaKGBHm	OZ251424.1	5760001	5790000	0.0075030867128882	10529	79	10529	0
PflaHELEm	OZ251424.1	5760001	5790000	0.0044638617152626	10529	47	10529	0
PflaKGBDf	OZ251424.1	5760001	5790000	0.0072181593693608	10529	76	10529	0
PflaKGBHm	OZ251424.1	5790001	5820000	0.0040331371266623	9174	37	9174	1
PflaHELEm	OZ251424.1	5790001	5820000	0.0044750054573237	9162	41	9162	13
PflaKGBDf	OZ251424.1	5790001	5820000	0.0049046321525885	9175	45	9175	0
PflaHELAf	OZ251424.1	5790001	5820000	0.0036053752867912	9153	33	9153	22
PflaKGBHm	OZ251424.1	5820001	5850000	0.0045921123716909	11106	51	11106	0
PflaHELEm	OZ251424.1	5820001	5850000	0.0054078413699864	11095	60	11095	11
PflaKGBDf	OZ251424.1	5820001	5850000	0.0042319466954799	11106	47	11106	0
PflaHELAf	OZ251424.1	5820001	5850000	0.0054024851431658	11106	60	11106	0
PflaKGBDf	OZ251424.1	5850001	5880000	0.0048659384309831	10070	49	10070	0
PflaHELEm	OZ251424.1	5850001	5880000	0.0041708043694141	10070	42	10070	0
PflaHELAf	OZ251424.1	5850001	5880000	0.0033763654419066	10070	34	10070	0
PflaKGBHm	OZ251424.1	5850001	5880000	0.0051638530287984	10070	52	10070	0
PflaHELAf	OZ251424.1	5880001	5910000	0.0058346518987341	10112	59	10112	0
PflaKGBDf	OZ251424.1	5880001	5910000	0.001384493670886	10112	14	10112	0
PflaHELEm	OZ251424.1	5880001	5910000	0.0049446202531645	10112	50	10112	0
PflaKGBHm	OZ251424.1	5880001	5910000	0.0063291139240506	10112	64	10112	0
PflaKGBHm	OZ251424.1	5910001	5940000	0.0041538739389561	5537	23	5537	0
PflaHELEm	OZ251424.1	5910001	5940000	0.0036120642947444	5537	20	5537	0
PflaHELAf	OZ251424.1	5910001	5940000	0.0050568900126422	5537	28	5537	0
PflaKGBDf	OZ251424.1	5910001	5940000	0.0010917030567685	5496	6	5496	41
PflaKGBHm	OZ251424.1	5940001	5970000	0.0035188739603326	9378	33	9378	0
PflaHELEm	OZ251424.1	5940001	5970000	0.0011729579867775	9378	11	9378	0
PflaKGBDf	OZ251424.1	5940001	5970000	0.0015015015015015	9324	14	9324	54
PflaHELAf	OZ251424.1	5940001	5970000	0.0036255065045851	9378	34	9378	0
PflaKGBHm	OZ251424.1	5970001	6000000	0.0034145026507323	11129	38	11129	0
PflaHELAf	OZ251424.1	5970001	6000000	0.0018869619911941	11129	21	11129	0
PflaKGBDf	OZ251424.1	5970001	6000000	0.0027225701061802	11019	30	11019	110
PflaHELEm	OZ251424.1	5970001	6000000	0.0023362386557642	11129	26	11129	0
PflaHELAf	OZ251424.1	6000001	6030000	0.0030802681645225	11038	34	11038	22
PflaHELEm	OZ251424.1	6000001	6030000	0.0063291139240506	11060	70	11060	0
PflaKGBHm	OZ251424.1	6000001	6030000	0.0047016274864376	11060	52	11060	0
PflaKGBDf	OZ251424.1	6000001	6030000	0.0049728752260397	11060	55	11060	0
PflaHELAf	OZ251424.1	6030001	6060000	0.0026755369151782	13829	37	13829	0
PflaKGBDf	OZ251424.1	6030001	6060000	0.0015910898965791	13827	22	13827	2
PflaKGBHm	OZ251424.1	6030001	6060000	0.0040494612770265	13829	56	13829	0
PflaHELEm	OZ251424.1	6030001	6060000	0.0038325258514715	13829	53	13829	0
PflaKGBHm	OZ251424.1	6060001	6090000	0.0013519603424966	15533	21	15533	0
PflaHELEm	OZ251424.1	6060001	6090000	0.0012232022146397	15533	19	15533	0
PflaKGBDf	OZ251424.1	6060001	6090000	0.0010944440867829	15533	17	15533	0
PflaHELAf	OZ251424.1	6060001	6090000	0.0013519603424966	15533	21	15533	0
PflaHELAf	OZ251424.1	6090001	6120000	0.0053720333547145	12472	67	12472	0
PflaKGBHm	OZ251424.1	6090001	6120000	0.005612572161642	12472	70	12472	0
PflaKGBDf	OZ251424.1	6090001	6120000	0.0056927517639512	12472	71	12472	0
PflaHELEm	OZ251424.1	6090001	6120000	0.005131494547787	12472	64	12472	0
PflaKGBDf	OZ251424.1	6120001	6150000	0.0028633990230756	5937	17	5937	0
PflaKGBHm	OZ251424.1	6120001	6150000	0.0030318342597271	5937	18	5937	0
PflaHELEm	OZ251424.1	6120001	6150000	0.0035371399696816	5937	21	5937	0
PflaHELAf	OZ251424.1	6120001	6150000	0.0065689742294087	5937	39	5937	0
PflaHELAf	OZ251424.1	6150001	6180000	0.0062830215621876	7003	44	7003	0
PflaKGBHm	OZ251424.1	6150001	6180000	0.0005711837783806	7003	4	7003	0
PflaHELEm	OZ251424.1	6150001	6180000	0.00414108239326	7003	29	7003	0
PflaKGBDf	OZ251424.1	6150001	6180000	0.0042838783378552	7003	30	7003	0
PflaKGBHm	OZ251424.1	6180001	6210000	0.0016642011834319	10816	18	10816	0
PflaHELEm	OZ251424.1	6180001	6210000	0.00573224852071	10816	62	10816	0
PflaKGBDf	OZ251424.1	6180001	6210000	0.0060096153846153	10816	65	10816	0
PflaHELAf	OZ251424.1	6180001	6210000	0.0047152366863905	10816	51	10816	0
PflaHELAf	OZ251424.1	6210001	6240000	0.0008438027376711	10666	9	10666	0
PflaKGBHm	OZ251424.1	6210001	6240000	9.375585974123384e-05	10666	1	10666	0
PflaHELEm	OZ251424.1	6210001	6240000	0.0059066191636977	10666	63	10666	0
PflaKGBDf	OZ251424.1	6210001	6240000	0.0054572826496048	10628	58	10628	38
PflaHELAf	OZ251424.1	6240001	6270000	0.00303170443451	19461	59	19461	904
PflaKGBDf	OZ251424.1	6240001	6270000	0.0056469432850478	20365	115	20365	0
PflaKGBHm	OZ251424.1	6240001	6270000	0.002749815860545	20365	56	20365	0
PflaHELEm	OZ251424.1	6240001	6270000	0.0053032163024797	20365	108	20365	0
PflaKGBHm	OZ251424.1	6270001	6300000	0.0032974910394265	13950	46	13950	0
PflaKGBDf	OZ251424.1	6270001	6300000	0.005089605734767	13950	71	13950	0
PflaHELEm	OZ251424.1	6270001	6300000	0.0042345510658149	13933	59	13933	17
PflaHELAf	OZ251424.1	6270001	6300000	0.0014457134595923	13834	20	13834	116
PflaHELAf	OZ251424.1	6300001	6330000	0.0011706555671175	15376	18	15376	0
PflaKGBDf	OZ251424.1	6300001	6330000	0.0028616024973985	15376	44	15376	0
PflaHELEm	OZ251424.1	6300001	6330000	0.0020811654526534	15376	32	15376	0
PflaKGBHm	OZ251424.1	6300001	6330000	0.0025364203954214	15376	39	15376	0
PflaKGBHm	OZ251424.1	6330001	6360000	0.0050107372942018	9779	49	9779	0
PflaHELAf	OZ251424.1	6330001	6360000	0.006340116576337	9779	62	9779	0
PflaKGBDf	OZ251424.1	6330001	6360000	0.0047039574598629	9779	46	9779	0
PflaHELEm	OZ251424.1	6330001	6360000	0.0048062174046426	9779	47	9779	0
PflaKGBHm	OZ251424.1	6360001	6390000	0.0103173058205178	10274	106	10274	0
PflaHELEm	OZ251424.1	6360001	6390000	0.0063328137178487	10264	65	10264	10
PflaHELAf	OZ251424.1	6360001	6390000	0.007883978976056	10274	81	10274	0
PflaKGBDf	OZ251424.1	6360001	6390000	0.0108039711894101	10274	111	10274	0
PflaHELAf	OZ251424.1	6390001	6420000	0.0030999270605397	16452	51	16452	0
PflaKGBDf	OZ251424.1	6390001	6420000	0.0020666180403598	16452	34	16452	0
PflaHELEm	OZ251424.1	6390001	6420000	0.0027960126428397	16452	46	16452	0
PflaKGBHm	OZ251424.1	6390001	6420000	0.0026744468757597	16452	44	16452	0
PflaKGBHm	OZ251424.1	6420001	6450000	0.0022293782511766	8074	18	8074	0
PflaHELEm	OZ251424.1	6420001	6450000	0.0023532325984642	8074	19	8074	0
PflaKGBDf	OZ251424.1	6420001	6450000	0.0018578152093138	8074	15	8074	0
PflaHELAf	OZ251424.1	6420001	6450000	0.0017339608620262	8074	14	8074	0
PflaHELAf	OZ251424.1	6450001	6480000	0.0014988595633756	15345	23	15345	0
PflaHELEm	OZ251424.1	6450001	6480000	0.0019550342130987	15345	30	15345	0
PflaKGBHm	OZ251424.1	6450001	6480000	0.0018246985988921	15345	28	15345	0
PflaKGBDf	OZ251424.1	6450001	6480000	0.0015640273704789	15345	24	15345	0
PflaHELAf	OZ251424.1	6480001	6510000	0.0027195747574015	16179	44	16179	0
PflaKGBDf	OZ251424.1	6480001	6510000	0.0025341492057605	16179	41	16179	0
PflaHELEm	OZ251424.1	6480001	6510000	0.0027195747574015	16179	44	16179	0
PflaKGBHm	OZ251424.1	6480001	6510000	0.0024105321713332	16179	39	16179	0
PflaHELAf	OZ251424.1	6510001	6540000	0.0013880126182965	15850	22	15850	20
PflaHELEm	OZ251424.1	6510001	6540000	0.0020793950850661	15870	33	15870	0
PflaKGBDf	OZ251424.1	6510001	6540000	0.0021424070573408	15870	34	15870	0
PflaKGBHm	OZ251424.1	6510001	6540000	0.0020795261201083	15869	33	15869	1
PflaHELAf	OZ251424.1	6540001	6570000	0.0035907699552625	16988	61	16988	6
PflaHELEm	OZ251424.1	6540001	6570000	0.003589502177239	16994	61	16994	0
PflaKGBHm	OZ251424.1	6540001	6570000	0.002415458937198	16974	41	16974	20
PflaKGBDf	OZ251424.1	6540001	6570000	0.0033574836543558	16977	57	16977	17
PflaHELEm	OZ251424.1	6570001	6600000	0.0017250530785562	15072	26	15072	1
PflaKGBHm	OZ251424.1	6570001	6600000	0.0019903138061434	15073	30	15073	0
PflaKGBDf	OZ251424.1	6570001	6600000	0.0019903138061434	15073	30	15073	0
PflaHELAf	OZ251424.1	6570001	6600000	0.0020566575996815	15073	31	15073	0
PflaKGBDf	OZ251424.1	6600001	6630000	0.0048305223514	12214	59	12214	0
PflaHELAf	OZ251424.1	6600001	6630000	0.0069592271164237	12214	85	12214	0
PflaKGBHm	OZ251424.1	6600001	6630000	0.0058948747339119	12214	72	12214	0
PflaHELEm	OZ251424.1	6600001	6630000	0.0062223677746847	12214	76	12214	0
PflaKGBDf	OZ251424.1	6630001	6660000	0.0026398284111532	12122	32	12122	317
PflaKGBHm	OZ251424.1	6630001	6660000	0.0025725540638314	12439	32	12439	0
PflaHELAf	OZ251424.1	6630001	6660000	0.0031353002652946	12439	39	12439	0
PflaHELEm	OZ251424.1	6630001	6660000	0.0046627542406945	12439	58	12439	0
PflaKGBDf	OZ251424.1	6660001	6690000	0.0049120300080378	11197	55	11197	4
PflaHELEm	OZ251424.1	6660001	6690000	0.0011606106597625	11201	13	11201	0
PflaKGBHm	OZ251424.1	6660001	6690000	0.0036659513590844	11184	41	11184	17
PflaHELAf	OZ251424.1	6660001	6690000	0.0013391661458798	11201	15	11201	0
PflaKGBHm	OZ251424.1	6690001	6720000	0.0017937219730941	1115	2	1115	0
PflaHELEm	OZ251424.1	6690001	6720000	0.0035874439461883	1115	4	1115	0
PflaKGBDf	OZ251424.1	6690001	6720000	0.0017937219730941	1115	2	1115	0
PflaHELAf	OZ251424.1	6690001	6720000	0.000896860986547	1115	1	1115	0
PflaKGBHm	OZ251424.1	6720001	6750000	0.0132802124833997	6024	80	6024	0
PflaHELEm	OZ251424.1	6720001	6750000	0.0089641434262948	6024	54	6024	0
PflaHELAf	OZ251424.1	6720001	6750000	0.0069721115537848	6024	42	6024	0
PflaKGBDf	OZ251424.1	6720001	6750000	0.0094621513944223	6024	57	6024	0
PflaKGBDf	OZ251424.1	6750001	6780000	0.0090272660280029	10856	98	10856	0
PflaHELEm	OZ251424.1	6750001	6780000	0.008382461311717	10856	91	10856	0
PflaKGBHm	OZ251424.1	6750001	6780000	0.0057111274871039	10856	62	10856	0
PflaHELAf	OZ251424.1	6750001	6780000	0.0069086219602063	10856	75	10856	0
PflaKGBHm	OZ251424.1	6780001	6810000	0.0067126965861143	10428	70	10428	12
PflaHELEm	OZ251424.1	6780001	6810000	0.0040229885057471	10440	42	10440	0
PflaHELAf	OZ251424.1	6780001	6810000	0.0016283524904214	10440	17	10440	0
PflaKGBDf	OZ251424.1	6780001	6810000	0.0066091954022988	10440	69	10440	0
PflaHELAf	OZ251424.1	6810001	6840000	0.0003516792685071	11374	4	11374	0
PflaKGBDf	OZ251424.1	6810001	6840000	0.0006161971830985	11360	7	11360	14
PflaHELEm	OZ251424.1	6810001	6840000	0.0013189132155104	11373	15	11373	1
PflaKGBHm	OZ251424.1	6810001	6840000	0.0010559662090813	11364	12	11364	10
PflaKGBHm	OZ251424.1	6840001	6870000	0.0019925989183034	10539	21	10539	10
PflaHELEm	OZ251424.1	6840001	6870000	9.479571523367145e-05	10549	1	10549	0
PflaHELAf	OZ251424.1	6840001	6870000	0.0001895914304673	10549	2	10549	0
PflaKGBDf	OZ251424.1	6840001	6870000	0.001706322874206	10549	18	10549	0
PflaHELAf	OZ251424.1	6870001	6900000	0.0036781969009234	12778	47	12778	0
PflaKGBDf	OZ251424.1	6870001	6900000	0.0062607606824229	12778	80	12778	0
PflaHELEm	OZ251424.1	6870001	6900000	0.003286899358272	12778	42	12778	0
PflaKGBHm	OZ251424.1	6870001	6900000	0.0068123091378905	12771	87	12771	7
PflaKGBHm	OZ251424.1	6900001	6930000	0.0045314900153609	13020	59	13020	0
PflaHELEm	OZ251424.1	6900001	6930000	0.0008454384751364	13011	11	13011	9
PflaKGBDf	OZ251424.1	6900001	6930000	0.0034578146611341	13014	45	13014	6
PflaHELAf	OZ251424.1	6900001	6930000	0.0012288786482334	13020	16	13020	0
PflaHELAf	OZ251424.1	6930001	6960000	0.0042204995693367	11610	49	11610	0
PflaHELEm	OZ251424.1	6930001	6960000	0.0024978466838931	11610	29	11610	0
PflaKGBHm	OZ251424.1	6930001	6960000	0.0049956933677863	11610	58	11610	0
PflaKGBDf	OZ251424.1	6930001	6960000	0.0034453057708871	11610	40	11610	0
PflaHELAf	OZ251424.1	6960001	6990000	0.0016153954207051	14238	23	14238	0
PflaKGBDf	OZ251424.1	6960001	6990000	0.0017558645877229	14238	25	14238	0
PflaHELEm	OZ251424.1	6960001	6990000	0.0007023458350891	14238	10	14238	0
PflaKGBHm	OZ251424.1	6960001	6990000	0.0017558645877229	14238	25	14238	0
PflaHELAf	OZ251424.1	6990001	7020000	0.0013923013923013	12210	17	12210	0
PflaKGBDf	OZ251424.1	6990001	7020000	0.0031941031941031	12210	39	12210	0
PflaHELEm	OZ251424.1	6990001	7020000	0.0016655562958027	12008	20	12008	202
PflaKGBHm	OZ251424.1	6990001	7020000	0.0033579033579033	12210	41	12210	0
PflaKGBHm	OZ251424.1	7020001	7050000	0.0025254582484725	12275	31	12275	0
PflaKGBDf	OZ251424.1	7020001	7050000	0.0026883910386965	12275	33	12275	0
PflaHELAf	OZ251424.1	7020001	7050000	0.0008961303462321	12275	11	12275	0
PflaHELEm	OZ251424.1	7020001	7050000	0.000488798370672	12275	6	12275	0
PflaKGBHm	OZ251424.1	7050001	7080000	0.0008250825082508	15756	13	15756	0
PflaHELEm	OZ251424.1	7050001	7080000	0.0008250825082508	15756	13	15756	0
PflaKGBDf	OZ251424.1	7050001	7080000	0.0012693577050012	15756	20	15756	0
PflaHELAf	OZ251424.1	7050001	7080000	0.0006346788525006	15756	10	15756	0
PflaHELAf	OZ251424.1	7080001	7110000	0.0015990573977444	11882	19	11882	0
PflaKGBDf	OZ251424.1	7080001	7110000	0.0015148964820737	11882	18	11882	0
PflaKGBHm	OZ251424.1	7080001	7110000	0.0007574482410368	11882	9	11882	0
PflaHELEm	OZ251424.1	7080001	7110000	0.0010099309880491	11882	12	11882	0
PflaKGBDf	OZ251424.1	7110001	7140000	0.0014082618025751	14912	21	14912	0
PflaHELAf	OZ251424.1	7110001	7140000	0.0059683476394849	14912	89	14912	0
PflaKGBHm	OZ251424.1	7110001	7140000	0.0026824034334763	14912	40	14912	0
PflaHELEm	OZ251424.1	7110001	7140000	0.0034200643776824	14912	51	14912	0
PflaKGBHm	OZ251424.1	7140001	7170000	0.00099179514922	11091	11	11091	32
PflaHELAf	OZ251424.1	7140001	7170000	0.0052144205699901	11123	58	11123	0
PflaKGBDf	OZ251424.1	7140001	7170000	0.0015283646498246	11123	17	11123	0
PflaHELEm	OZ251424.1	7140001	7170000	0.0023374988762024	11123	26	11123	0
PflaHELAf	OZ251424.1	7170001	7200000	0.0038914832110295	8994	35	8994	0
PflaKGBDf	OZ251424.1	7170001	7200000	0.0037802979764287	8994	34	8994	0
PflaHELEm	OZ251424.1	7170001	7200000	0.0042250389148321	8994	38	8994	0
PflaKGBHm	OZ251424.1	7170001	7200000	0.0026699299143397	8989	24	8989	5
PflaHELEm	OZ251424.1	7200001	7230000	0.0053859964093357	6127	33	6127	0
PflaKGBHm	OZ251424.1	7200001	7230000	0.0045699363473151	6127	28	6127	0
PflaKGBDf	OZ251424.1	7200001	7230000	0.0042435123225069	6127	26	6127	0
PflaHELAf	OZ251424.1	7200001	7230000	0.0045699363473151	6127	28	6127	0
PflaHELEm	OZ251424.1	7230001	7260000	0.0029648727038349	15515	46	15515	0
PflaKGBHm	OZ251424.1	7230001	7260000	0.0037383177570093	15515	58	15515	0
PflaHELAf	OZ251424.1	7230001	7260000	0.0038672252658717	15515	60	15515	0
PflaKGBDf	OZ251424.1	7230001	7260000	0.0022558814050918	15515	35	15515	0
PflaHELAf	OZ251424.1	7260001	7290000	0.0017084282460136	14048	24	14048	9
PflaKGBDf	OZ251424.1	7260001	7290000	0.002784123358081	14008	39	14008	49
PflaHELEm	OZ251424.1	7260001	7290000	0.0033435299139218	14057	47	14057	0
PflaKGBHm	OZ251424.1	7260001	7290000	0.0024948321334378	14029	35	14029	28
PflaHELEm	OZ251424.1	7290001	7320000	0.0017749378771742	11268	20	11268	0
PflaHELAf	OZ251424.1	7290001	7320000	0.0019524316648917	11268	22	11268	0
PflaKGBDf	OZ251424.1	7290001	7320000	0.0039936102236421	11268	45	11268	0
PflaKGBHm	OZ251424.1	7290001	7320000	0.004969826056088	11268	56	11268	0
PflaKGBDf	OZ251424.1	7320001	7350000	0.0032440056417489	14180	46	14180	4
PflaHELEm	OZ251424.1	7320001	7350000	0.0016920473773265	14184	24	14184	0
PflaKGBHm	OZ251424.1	7320001	7350000	0.0017625493513818	14184	25	14184	0
PflaHELAf	OZ251424.1	7320001	7350000	0.0016215454032712	14184	23	14184	0
PflaHELAf	OZ251424.1	7350001	7380000	0.0023683477291724	7178	17	7178	0
PflaKGBDf	OZ251424.1	7350001	7380000	0.0023683477291724	7178	17	7178	0
PflaHELEm	OZ251424.1	7350001	7380000	0.001672007802703	7177	12	7177	1
PflaKGBHm	OZ251424.1	7350001	7380000	0.0029256060183895	7178	21	7178	0
PflaHELEm	OZ251424.1	7380001	7410000	0.004350465398624	9884	43	9884	0
PflaKGBDf	OZ251424.1	7380001	7410000	0.0006181743251596	9706	6	9706	178
PflaHELAf	OZ251424.1	7380001	7410000	0.0013152569809793	9884	13	9884	0
PflaKGBHm	OZ251424.1	7380001	7410000	0.0006070416835289	9884	6	9884	0
PflaKGBHm	OZ251424.1	7410001	7440000	0.0003382949932341	5912	2	5912	0
PflaHELAf	OZ251424.1	7410001	7440000	0.0011854360711261	5905	7	5905	7
PflaKGBDf	OZ251424.1	7410001	7440000	0.0005074424898511	5912	3	5912	0
PflaHELEm	OZ251424.1	7410001	7440000	0.0023680649526387	5912	14	5912	0
PflaKGBDf	OZ251424.1	7440001	7470000	0.004123503972644	9943	41	9943	0
PflaHELAf	OZ251424.1	7440001	7470000	0.0058332495222769	9943	58	9943	0
PflaKGBHm	OZ251424.1	7440001	7470000	0.0045257970431459	9943	45	9943	0
PflaHELEm	OZ251424.1	7440001	7470000	0.0045257970431459	9943	45	9943	0
PflaHELAf	OZ251424.1	7470001	7500000	0.0010459256441951	10517	11	10517	0
PflaKGBDf	OZ251424.1	7470001	7500000	0.0	10419	0	10419	98
PflaHELEm	OZ251424.1	7470001	7500000	0.0011410097936673	10517	12	10517	0
PflaKGBHm	OZ251424.1	7470001	7500000	0.0002857414991903	10499	3	10499	18
PflaHELEm	OZ251424.1	7500001	7530000	0.001816347124117	9910	18	9910	0
PflaKGBHm	OZ251424.1	7500001	7530000	0.0002018163471241	9910	2	9910	0
PflaHELAf	OZ251424.1	7500001	7530000	0.0015139281388776	9908	15	9908	2
PflaKGBDf	OZ251424.1	7500001	7530000	0.0	9910	0	9910	0
PflaKGBHm	OZ251424.1	7530001	7560000	8.638562543192812e-05	11576	1	11576	0
PflaHELEm	OZ251424.1	7530001	7560000	0.0008638562543192	11576	10	11576	0
PflaKGBDf	OZ251424.1	7530001	7560000	0.0	11576	0	11576	0
PflaHELAf	OZ251424.1	7530001	7560000	0.0017277125086385	11576	20	11576	0
